pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently
11136,29432,404083,6080
11183,29554,403325,6057
10905,29769,402171,6133
12008,30043,400840,6168
10535,29905,399252,6113
7999,29459,397801,6111
13241,28755,396355,6071
13192,28608,395215,6015
13217,29035,394699,6070
11805,29501,393632,6175
11768,29900,392173,6278
10587,30278,390624,6308
4966,30328,389107,6310
10494,29895,387616,6238
10467,29810,386679,6233
10403,30655,386087,6451
10813,31421,385011,6379
10530,32421,383458,6531
6551,32562,381926,6646
8983,32262,379866,6542
8986,31999,378907,6630
8946,32372,378415,6700
9021,33502,377926,6766
10118,34099,376639,6924
9987,34682,375400,6921
9293,35569,373864,7087
6647,35271,372217,7090
11128,35352,370380,7043
11148,35726,369564,7268
11151,36428,368884,7413
10428,37239,367588,7558
11168,37464,365993,7717
4081,38401,364325,7737
4091,38779,362452,7863
4143,38673,360453,7851
4149,39017,359404,7949
4154,39894,358630,8207
4199,40951,357093,8357
4170,41988,355276,8483
4374,43330,353266,8744
4412,43758,351234,8866
4298,43485,348961,8871
4302,44046,347694,8958
4452,44795,347045,9087
4415,45776,345014,9277
4239,47218,342802,9487
4174,47991,340117,9555
4118,48498,337062,9136
3966,48635,334347,9216
3871,48899,332693,9307
3888,49911,331838,9662
3988,51207,330424,9691
3903,53132,322388,9994
3842,53353,319706,9986
3789,53326,317437,10207
3662,53377,312947,10230
3888,54017,311223,10415
3975,54470,310406,10450
3956,55593,308088,10472
3947,56427,305461,10523
3840,57339,302078,10539
3600,57091,299144,10463
3398,58897,294472,10328
3361,58621,292782,10353
3377,59301,291347,10380
3409,59682,289370,10395
3179,59718,286338,10414
3051,59596,283829,10457
3197,59364,281581,6711
3003,58370,279030,6557
3052,57885,277383,6384
3032,57645,276439,6397
3002,57759,274436,6452
2929,57440,271758,6359
2947,56144,269543,6317
960,55565,267127,6235
2610,53988,264865,6074
2639,52727,263651,5930
2618,51858,262712,5939
2493,51599,257571,5896
2530,43933,255253,5845
2360,43076,253534,5874
2136,41760,251499,5832
1907,39769,249539,5687
1885,38764,248745,5653
2083,38146,248155,5633
2237,37798,247284,5597
2208,37500,245849,5626
2604,36405,243846,5512
2432,35248,242408,5424
2194,33585,240826,5380
2198,32488,240156,5252
2186,32482,239576,5314
2201,31738,238519,5283
2133,31842,236993,5320
2049,31102,235736,5293
1891,30235,234426,5402
2028,28799,233169,5323
2084,28220,232369,5195
2108,27967,231855,5229
2032,28616,231110,5341
1903,28415,229497,5464
1745,28576,228457,5612
1604,28270,227327,5570
1619,27867,226026,5703
1672,27895,225483,5749
1698,28450,224843,5883
1783,29154,223738,6017
1816,29698,222493,6074
1737,30864,221126,6249
1661,31009,219642,6457
1606,30996,218115,6402
1733,31225,217401,6501
1796,31761,216716,6762
1749,32280,215699,6920
3474,32639,214259,7057
3556,33070,217100,7227
4054,33724,214845,7407
3455,34075,213260,7591
3270,34648,210464,7626
1668,35524,209488,7956
2978,36764,208064,8174
1906,37818,206349,8389
3132,38038,204719,8547
1549,37561,203006,8585
3368,37432,185686,8467
3860,37483,184684,8485
4084,38391,183763,8733
3709,39822,182385,9049
3641,41065,178339,9090
2973,41546,173709,9521
2944,41661,171713,9598
3596,41553,170116,9754
3449,41606,168959,9934
3788,43211,167760,10278
2457,44299,165904,10484
2673,45635,164551,10655
1983,46742,161345,10990
1803,47402,159536,11240
1989,46372,157957,11148
3095,46981,156719,11393
3054,48564,155664,11496
3307,49785,153956,11780
3171,51398,147064,12136
2742,52560,143322,12478
2633,53221,141203,12628
2791,52409,139220,12696
2812,52623,137569,12720
1578,54048,135606,12905
1639,54903,133575,12845
2775,54919,123786,13255
4832,55979,121496,13535
4206,56062,118081,13562
4077,56189,116002,13812
4445,56192,112926,14104
5315,57381,110734,14415
4396,57295,108278,14605
4258,58989,105940,14744
4191,59202,103138,15013
3956,59780,100051,14941
4037,56734,97369,14463
11324,56486,95158,14385
